Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"Main currency",6CB45D8D-6EFF-1928-F265-999371B2D27A,160,,B38A778B-0463-9C7D-3502-F4091E4E0384,111,N,Domain,,,,,61D993CB-3857-0254-82CE-4524A856851C,7,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Currency",String,,,,,,,,"GIRR risk factor",,,,2,3,,,,
"Market cap",CE182A53-0975-F2C4-1770-0FFC28116F78,161,,2BCD02A6-76DC-6E84-FA25-9778097C621E,114,N,Domain,,,,,7F63E47C-D3DB-4A93-6AC8-9AEB283E41DA,14,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Market cap",String,,,,,,,,"Organisation",,,,4,3,,,,
"Market Risk Portfolio",7450CA72-C7CE-1008-5392-8BF775D1834F,162,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,115,N,Domain,,,,,6D2C1650-3392-02CC-49B6-6BEA2F9A33C6,15,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Market Risk Portfolio",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,11,3,,,,
"Netted delta sensitivities",B940F42C-6CAD-7E32-CD85-4DA2DB0891FB,163,,34908E02-53E1-6647-E07D-2921F33DDF28,113,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,66,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Netted delta sensitivities per risk factor and tenor_derived",,,,2,,,,,
"Netted delta sensitivities identifier",EAD5128C-F2F0-334D-B38B-53E87875010B,164,,34908E02-53E1-6647-E07D-2921F33DDF28,113,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Netted delta sensitivities per risk factor and tenor_derived",P,,,1,,,,,
"Netted delta sensitivities identifier",61B29BCB-62A0-76F8-468C-D8B64CD3A5A4,165,,759B8717-A824-710D-F330-8402AA7CA111,107,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,BD2B0EFA-7A25-AA6C-3982-D69EC42E9EC0,227,"Delta sensitivity combinations_derived",,F,"Netted delta sensitivities_identifier1",4,,,,,
"Netted delta sensitivities identifier1",CB41F323-1317-A1D5-ABAD-14C134BD6319,166,,759B8717-A824-710D-F330-8402AA7CA111,107,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,C6775864-884A-D068-4C4E-E2E66454A681,228,"Delta sensitivity combinations_derived",,F,"Netted delta sensitivities_identifier2",5,,,,,
"option maturity",C78476ED-23B6-819D-275B-51A406887D78,167,,47A941C3-2E4D-07A4-14B2-F4AFB696D126,125,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,66,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Vega sensitivity",,,,2,,,,,
"Organisation identifier",44B2D652-92E9-5FAE-AA89-6B63EB4037CA,168,,2BCD02A6-76DC-6E84-FA25-9778097C621E,114,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Organisation",P,,,1,,,,,
"Organisation identifier",3E2AAB99-1910-8B42-E304-EE2BE4544F2C,169,,41723CFA-4325-D82E-7C07-BBF4BEA5B19D,103,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,F4967460-7822-C4DB-CBDD-8D936D400EDC,225,"CSR non securitisation risk factor",,F,"issuerv2",3,,,,,
