Logical_Type_ID,LT_Name,Native_Type,RDBMS_Type,RDBMS_Version,Has_Size,Has_Precision,Has_Scale
LOGDT030,"DATALINK","BLOB",Oracle Database,21c,N,N,N,
LOGDT030,"DATALINK","BLOB",Oracle Database,12cR2,N,N,N,
LOGDT030,"DATALINK","BLOB",Oracle Database,12c,N,N,N,
LOGDT030,"DATALINK","BLOB",Oracle Database,11g,N,N,N,
LOGDT030,"DATALINK","BLOB",Oracle Database,10g,N,N,N,
LOGDT030,"DATALINK","BLOB",Oracle,9i,N,N,N,
LOGDT030,"DATALINK","BINARY",SQL Server,2012,Y,N,N,
LOGDT030,"DATALINK","BINARY",SQL Server,2008,Y,N,N,
LOGDT030,"DATALINK","BINARY",SQL Server,2005,Y,N,N,
LOGDT030,"DATALINK","BINARY",SQL Server,2000,Y,N,N,
LOGDT030,"DATALINK","VARCHAR",DB2/390,8,N,N,N,
LOGDT030,"DATALINK","VARCHAR",DB2/390,7,N,N,N,
LOGDT030,"DATALINK","DATALINK",DB2/UDB,9,N,N,N,
LOGDT030,"DATALINK","DATALINK",DB2/UDB,8.1,N,N,N,
LOGDT030,"DATALINK","DATALINK",DB2/UDB,7.1,N,N,N,
LOGDT007,"Date","DATE",Oracle Database,21c,N,N,N,
LOGDT007,"Date","DATE",Oracle Database,12cR2,N,N,N,
LOGDT007,"Date","DATE",Oracle Database,12c,N,N,N,
LOGDT007,"Date","DATE",Oracle Database,11g,N,N,N,
LOGDT007,"Date","DATE",Oracle Database,10g,N,N,N,
LOGDT007,"Date","DATE",Oracle,9i,N,N,N,
LOGDT007,"Date","DATE",SQL Server,2012,N,N,N,
LOGDT007,"Date","DATE",SQL Server,2008,N,N,N,
LOGDT007,"Date","DATETIME",SQL Server,2005,N,N,N,
LOGDT007,"Date","DATETIME",SQL Server,2000,N,N,N,
LOGDT007,"Date","DATE",DB2/390,8,N,N,N,
LOGDT007,"Date","DATE",DB2/390,7,N,N,N,
LOGDT007,"Date","DATE",DB2/UDB,9,N,N,N,
LOGDT007,"Date","DATE",DB2/UDB,8.1,N,N,N,
LOGDT007,"Date","DATE",DB2/UDB,7.1,N,N,N,
LOGDT008,"Datetime","DATE",Oracle Database,21c,N,N,N,
LOGDT008,"Datetime","DATE",Oracle Database,12cR2,N,N,N,
LOGDT008,"Datetime","DATE",Oracle Database,12c,N,N,N,
LOGDT008,"Datetime","DATE",Oracle Database,11g,N,N,N,
LOGDT008,"Datetime","DATE",Oracle Database,10g,N,N,N,
LOGDT008,"Datetime","DATE",Oracle,9i,N,N,N,
LOGDT008,"Datetime","DATETIME",SQL Server,2012,N,N,N,
LOGDT008,"Datetime","DATETIME",SQL Server,2008,N,N,N,
LOGDT008,"Datetime","DATETIME",SQL Server,2005,N,N,N,
LOGDT008,"Datetime","DATETIME",SQL Server,2000,N,N,N,
LOGDT008,"Datetime","TIMESTAMP",DB2/390,8,N,N,N,
LOGDT008,"Datetime","TIMESTAMP",DB2/390,7,N,N,N,
LOGDT008,"Datetime","TIMESTAMP",DB2/UDB,9,N,N,N,
LOGDT008,"Datetime","TIMESTAMP",DB2/UDB,8.1,N,N,N,
LOGDT008,"Datetime","TIMESTAMP",DB2/UDB,7.1,N,N,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","TIMESTAMP",Oracle Database,21c,N,Y,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","TIMESTAMP",Oracle Database,12cR2,N,Y,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","TIMESTAMP",Oracle Database,12c,N,Y,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","TIMESTAMP",Oracle Database,11g,N,Y,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","TIMESTAMP",Oracle Database,10g,N,Y,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","TIMESTAMP",Oracle,9i,N,Y,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","DATETIME2",SQL Server,2012,N,N,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","DATETIME2",SQL Server,2008,N,N,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","DATETIME",SQL Server,2005,N,N,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","DATETIME",SQL Server,2000,N,N,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","TIMESTAMP",DB2/390,8,N,N,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","TIMESTAMP",DB2/390,7,N,N,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","TIMESTAMP",DB2/UDB,9,N,N,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","TIMESTAMP",DB2/UDB,8.1,N,N,N,
91229484-D19C-D458-8647-333C7FFE7B60,"DATETIME2","TIMESTAMP",DB2/UDB,7.1,N,N,N,
LOGDT054,"DBURIType","DBURITYPE",Oracle Database,21c,N,N,N,
LOGDT054,"DBURIType","DBURITYPE",Oracle Database,12cR2,N,N,N,
LOGDT054,"DBURIType","DBURITYPE",Oracle Database,12c,N,N,N,
LOGDT054,"DBURIType","DBURITYPE",Oracle Database,11g,N,N,N,
LOGDT054,"DBURIType","DBURITYPE",Oracle Database,10g,N,N,N,
LOGDT054,"DBURIType","DBURITYPE",Oracle,9i,N,N,N,
LOGDT054,"DBURIType","CHAR",SQL Server,2012,N,N,N,
LOGDT054,"DBURIType","CHAR",SQL Server,2008,N,N,N,
LOGDT054,"DBURIType","CHAR",SQL Server,2005,N,N,N,
LOGDT054,"DBURIType","CHAR",SQL Server,2000,N,N,N,
LOGDT054,"DBURIType","CHAR",DB2/390,8,N,N,N,
LOGDT054,"DBURIType","CHAR",DB2/390,7,N,N,N,
LOGDT054,"DBURIType","DATALINK",DB2/UDB,9,N,N,N,
LOGDT054,"DBURIType","DATALINK",DB2/UDB,8.1,N,N,N,
LOGDT054,"DBURIType","DATALINK",DB2/UDB,7.1,N,N,N,
LOGDT026,"DECIMAL","NUMBER",Oracle Database,21c,N,N,N,
LOGDT026,"DECIMAL","NUMBER",Oracle Database,12cR2,N,N,N,
LOGDT026,"DECIMAL","NUMBER",Oracle Database,12c,N,N,N,
LOGDT026,"DECIMAL","NUMBER",Oracle Database,11g,N,N,N,
LOGDT026,"DECIMAL","NUMBER",Oracle Database,10g,N,N,N,
LOGDT026,"DECIMAL","NUMBER",Oracle,9i,N,N,N,
LOGDT026,"DECIMAL","DECIMAL",SQL Server,2012,N,Y,N,
LOGDT026,"DECIMAL","DECIMAL",SQL Server,2008,N,Y,N,
LOGDT026,"DECIMAL","DECIMAL",SQL Server,2005,N,Y,N,
